-DOCSTART-	_	_	O
work	work	NOUN	O
,	,	PUNCT	O
and	and	CCONJ	O
3	3	NUM	B-PARAM
hours	hour	NOUN	O
of	of	ADP	O
resting	rest	VERB	O
under	under	ADP	O
the	the	DET	O
sun	sun	NOUN	O
.	.	PUNCT	O
To	to	PART	O
make	make	VERB	O
one	one	NUM	O
kilogram	kilogram	NOUN	O
of	of	ADP	O
bananas	banana	NOUN	B-VAR
requires	require	VERB	O
2	2	NUM	B-PARAM
hours	hour	NOUN	O
of	of	ADP	O
human	human	ADJ	O
labor	labor	NOUN	O
,	,	PUNCT	O
4	4	NUM	B-PARAM
hours	hour	NOUN	O
of	of	ADP	O
machine	machine	NOUN	O
work	work	NOUN	O
,	,	PUNCT	O
and	and	CCONJ	O
1.5	1.5	NUM	B-PARAM
hours	hour	NOUN	O
of	of	ADP	O
resting	rest	VERB	O
under	under	ADP	O
the	the	DET	O
sun	sun	NOUN	O
.	.	PUNCT	O
The	the	DET	O
factory	factory	NOUN	O
only	only	ADV	O
has	have	VERB	B-CONST_DIR
90	90	NUM	B-LIMIT
hours	hour	NOUN	O
of	of	ADP	O
human	human	ADJ	O
labor	labor	NOUN	O
,	,	PUNCT	O
150	150	NUM	B-LIMIT
hours	hour	NOUN	O
of	of	ADP	O
machine	machine	NOUN	O
labor	labor	NOUN	O
,	,	PUNCT	O
and	and	CCONJ	O
70	70	NUM	B-LIMIT
hours	hour	NOUN	O
of	of	ADP	O
time	time	NOUN	O
under	under	ADP	O
the	the	DET	O
sun	sun	NOUN	O
available	available	ADJ	B-CONST_DIR
.	.	PUNCT	O
The	the	DET	O
net	net	ADJ	B-OBJ_NAME
profit	profit	NOUN	I-OBJ_NAME
per	per	ADP	O
kilogram	kilogram	NOUN	O
of	of	ADP	O
basmati	basmati	NOUN	B-VAR
rice	rice	NOUN	I-VAR
is	be	AUX	O
$	$	SYM	O
15	15	NUM	B-PARAM
and	and	CCONJ	O
the	the	DET	O
net	net	ADJ	B-OBJ_NAME
profit	profit	NOUN	I-OBJ_NAME
per	per	ADP	O
kilogram	kilogram	NOUN	O
of	of	ADP	O
bananas	banana	NOUN	B-VAR
is	be	VERB	O
$	$	SYM	O
28	28	NUM	B-PARAM
.	.	PUNCT	O
How	how	ADV	O
many	many	ADJ	O
kilograms	kilogram	NOUN	O
of	of	ADP	O
each	each	DET	O
should	should	AUX	O
the	the	DET	O
factory	factory	NOUN	O
make	make	VERB	O
in	in	ADP	O
order	order	NOUN	O
to	to	PART	O
maximize	maximize	VERB	B-OBJ_DIR
profit	profit	NOUN	B-OBJ_NAME
?	?	PUNCT	O

A	a	DET	O
beverage	beverage	NOUN	O
company	company	NOUN	O
wants	want	VERB	O
to	to	PART	O
promote	promote	VERB	O
their	their	PRON	O
new	new	ADJ	O
product	product	NOUN	O
.	.	PUNCT	O
They	they	PRON	O
want	want	VERB	O
to	to	PART	O
maximize	maximize	VERB	O
the	the	DET	O
exposure	exposure	NOUN	B-OBJ_NAME
with	with	ADP	O
a	a	DET	O
budget	budget	NOUN	O
of	of	ADP	O
at	at	ADV	B-CONST_DIR
most	most	ADV	I-CONST_DIR
$	$	SYM	O
200000	200000	NUM	B-LIMIT
.	.	PUNCT	O
To	to	PART	O
do	do	VERB	O
so	so	ADV	O
,	,	PUNCT	O
the	the	DET	O
company	company	NOUN	O
needs	need	VERB	O
to	to	PART	O
decide	decide	VERB	O
how	how	ADV	O
much	much	ADJ	O
of	of	ADP	O
the	the	DET	O
budget	budget	NOUN	O
to	to	PART	O
spend	spend	VERB	O
on	on	ADP	O
each	each	DET	O
of	of	ADP	O
its	its	PRON	O
two	two	NUM	O
most	most	ADV	O
effective	effective	ADJ	O
media	medium	NOUN	O
:	:	PUNCT	O
(	(	PUNCT	O
1	1	NUM	O
)	)	PUNCT	O
newspaper	newspaper	NOUN	B-VAR
and	and	CCONJ	O
(	(	PUNCT	O
2	2	NUM	O
)	)	PUNCT	O
television	television	NOUN	B-VAR
.	.	PUNCT	O
Each	each	DET	O
newspaper	newspaper	NOUN	B-VAR
advertisement	advertisement	NOUN	I-VAR
costs	cost	VERB	O
$	$	SYM	O
2500	2500	NUM	B-PARAM
;	;	PUNCT	O
each	each	DET	O
television	television	NOUN	B-VAR
advertisement	advertisement	NOUN	I-VAR
cover	cover	NOUN	O
costs	cost	VERB	O
$	$	SYM	O
5000	5000	NUM	B-PARAM
.	.	PUNCT	O
The	the	DET	O
company	company	NOUN	O
knows	know	VERB	O
from	from	ADP	O
experience	experience	NOUN	O
that	that	SCONJ	O
it	it	PRON	O
is	be	VERB	O
important	important	ADJ	O
to	to	PART	O
use	use	VERB	O
both	both	DET	O
media	medium	NOUN	O
.	.	PUNCT	O
The	the	DET	O
product	product	NOUN	O
exposure	exposure	NOUN	B-OBJ_NAME
is	be	AUX	O
30000	30000	NUM	B-PARAM
readers	reader	NOUN	O
for	for	ADP	O
each	each	DET	O
newspaper	newspaper	NOUN	B-VAR
advertisement	advertisement	NOUN	I-VAR
and	and	CCONJ	O
50000	50000	NUM	B-PARAM
viewers	viewer	NOUN	O
for	for	ADP	O
each	each	DET	O
television	television	NOUN	B-VAR
advertisement	advertisement	NOUN	I-VAR
.	.	PUNCT	O
It	it	PRON	O
makes	make	VERB	O
a	a	DET	O
decision	decision	NOUN	O
that	that	SCONJ	O
at	at	ADV	B-CONST_DIR
least	least	ADV	I-CONST_DIR
12	12	NUM	B-LIMIT
but	but	CCONJ	O
at	at	ADP	B-CONST_DIR
most	most	ADJ	I-CONST_DIR
24	24	NUM	B-LIMIT
newspaper	newspaper	NOUN	B-VAR
advertisements	advertisement	NOUN	I-VAR
be	be	AUX	O
ordered	order	VERB	O
,	,	PUNCT	O
and	and	CCONJ	O
that	that	SCONJ	O
at	at	ADV	B-CONST_DIR
least	least	ADV	I-CONST_DIR
10	10	NUM	B-LIMIT
television	television	NOUN	B-VAR
advertisements	advertisement	NOUN	I-VAR
should	should	AUX	O
be	be	AUX	O
contracted	contract	VERB	O
.	.	PUNCT	O
How	how	ADV	O
many	many	ADJ	O
times	time	NOUN	O
should	should	AUX	O
each	each	DET	O
of	of	ADP	O
the	the	DET	O
two	two	NUM	O
media	medium	NOUN	O
be	be	AUX	O
used	use	VERB	O
to	to	PART	O
obtain	obtain	VERB	O
maximum	maximum	ADJ	B-OBJ_DIR
exposure	exposure	NOUN	B-OBJ_NAME
while	while	SCONJ	O
staying	stay	VERB	O
within	within	ADP	O
the	the	DET	O
budget	budget	NOUN	O
?	?	PUNCT	O

Kappa	Kappa	PROPN	O
Medical	Medical	PROPN	O
wants	want	VERB	O
to	to	PART	O
mix	mix	VERB	O
two	two	NUM	O
creams	cream	NOUN	O
to	to	PART	O
create	create	VERB	O
a	a	DET	O
mixture	mixture	NOUN	O
that	that	DET	O
contains	contain	VERB	O
at	at	ADP	B-CONST_DIR
least	least	ADV	I-CONST_DIR
4	4	NUM	B-LIMIT
units	unit	NOUN	O
of	of	ADP	O
compound	compound	NOUN	O
X	X	PROPN	O
and	and	CCONJ	O
8	8	NUM	B-LIMIT
units	unit	NOUN	O
of	of	ADP	O
compound	compound	NOUN	O
Y.	Y.	PROPN	O
The	the	DET	O
amount	amount	NOUN	O
of	of	ADP	O
compound	compound	NOUN	O
X	X	PROPN	O
and	and	CCONJ	O
compound	compound	NOUN	O
Y	Y	PROPN	O
in	in	ADP	O
cream	cream	NOUN	B-VAR
Alpha	alpha	NOUN	I-VAR
is	be	AUX	O
2	2	NUM	B-PARAM
units	unit	NOUN	O
/	/	SYM	O
mg	mg	INTJ	O
and	and	CCONJ	O
2.7	2.7	NUM	B-PARAM
units	unit	NOUN	O
/	/	SYM	O
mg	mg	ADV	O
respectively	respectively	ADV	O
.	.	PUNCT	O
On	on	ADP	O
the	the	DET	O
other	other	ADJ	O
hand	hand	NOUN	O
,	,	PUNCT	O
the	the	DET	O
amount	amount	NOUN	O
of	of	ADP	O
compound	compound	NOUN	O
X	X	PROPN	O
and	and	CCONJ	O
compound	compound	NOUN	O
Y	Y	PROPN	O
in	in	ADP	O
cream	cream	NOUN	B-VAR
Beta	beta	NOUN	I-VAR
is	be	AUX	O
4.1	4.1	NUM	B-PARAM
units	unit	NOUN	O
/	/	SYM	O
mg	mg	INTJ	O
and	and	CCONJ	O
3.2	3.2	NUM	B-PARAM
units	unit	NOUN	O
/	/	SYM	O
mg	mg	ADV	O
respectively	respectively	ADV	O
.	.	PUNCT	O
It	it	PRON	O
costs	cost	VERB	B-OBJ_NAME
$	$	SYM	O
0.70	0.70	NUM	B-PARAM
per	per	ADP	O
mg	mg	ADP	O
to	to	PART	O
purchase	purchase	VERB	O
cream	cream	NOUN	B-VAR
Alpha	Alpha	PROPN	I-VAR
and	and	CCONJ	O
$	$	SYM	O
0.90	0.90	NUM	B-PARAM
per	per	ADP	O
mg	mg	ADP	O
to	to	PART	O
purchase	purchase	VERB	O
cream	cream	NOUN	B-VAR
Beta	beta	NOUN	I-VAR
.	.	PUNCT	O
Formulate	formulate	VERB	O
an	an	DET	O
LP	lp	NOUN	O
to	to	PART	O
minimize	minimize	VERB	B-OBJ_DIR
the	the	DET	O
cost	cost	NOUN	B-OBJ_NAME
of	of	ADP	O
such	such	DET	O
a	a	DET	O
mixture	mixture	NOUN	O
.	.	PUNCT	O

A	a	DET	O
furniture	furniture	NOUN	O
store	store	NOUN	O
sells	sell	VERB	O
only	only	ADJ	O
bookcases	bookcase	NOUN	B-VAR
and	and	CCONJ	O
dining	dining	NOUN	B-VAR
tables	table	NOUN	I-VAR
.	.	PUNCT	O
They	they	PRON	O
have	have	VERB	O
1200	1200	NUM	B-LIMIT
sq	sq	NOUN	O
ft	ft	PROPN	O
of	of	ADP	O
floor	floor	NOUN	O
space	space	NOUN	O
available	available	ADJ	B-CONST_DIR
.	.	PUNCT	O
A	a	DET	O
bookcase	bookcase	NOUN	B-VAR
requires	require	VERB	O
15	15	NUM	B-PARAM
sq	sq	NOUN	O
ft	ft	PROPN	O
of	of	ADP	O
floor	floor	NOUN	O
space	space	NOUN	O
while	while	SCONJ	O
a	a	DET	O
dining	dining	NOUN	B-VAR
table	table	NOUN	I-VAR
requires	require	VERB	O
8	8	NUM	B-PARAM
sq	sq	NOUN	O
ft	ft	PROPN	O
of	of	ADP	O
floor	floor	NOUN	O
space	space	NOUN	O
.	.	PUNCT	O
The	the	DET	O
profit	profit	NOUN	B-OBJ_NAME
per	per	ADP	O
bookcase	bookcase	NOUN	B-VAR
is	be	AUX	O
$	$	SYM	O
150	150	NUM	B-PARAM
and	and	CCONJ	O
the	the	DET	O
profit	profit	NOUN	B-OBJ_NAME
per	per	ADP	O
dining	dining	NOUN	B-VAR
table	table	NOUN	I-VAR
is	be	VERB	O
$	$	SYM	O
200	200	NUM	B-PARAM
.	.	PUNCT	O
Management	management	NOUN	O
requires	require	VERB	O
at	at	ADP	B-CONST_DIR
least	least	ADV	I-CONST_DIR
20	20	NUM	B-LIMIT
%	%	NOUN	I-LIMIT
of	of	ADP	O
all	all	DET	O
items	item	NOUN	O
in	in	ADP	O
stock	stock	NOUN	O
to	to	PART	O
be	be	VERB	O
bookcases	bookcase	NOUN	B-VAR
.	.	PUNCT	O
While	while	SCONJ	O
a	a	DET	O
bookcase	bookcase	NOUN	B-VAR
ties	tie	VERB	O
up	up	ADP	O
$	$	SYM	O
1200	1200	NUM	B-PARAM
in	in	ADP	O
capital	capital	NOUN	O
,	,	PUNCT	O
a	a	DET	O
dining	dining	NOUN	B-VAR
table	table	NOUN	I-VAR
ties	tie	VERB	O
up	up	ADP	O
$	$	SYM	O
1500	1500	NUM	B-PARAM
in	in	ADP	O
capital	capital	NOUN	O
.	.	PUNCT	O
The	the	DET	O
store	store	NOUN	O
wants	want	VERB	O
to	to	PART	O
have	have	VERB	O
a	a	DET	O
maximum	maximum	NOUN	B-CONST_DIR
of	of	ADP	O
$	$	SYM	O
50000	50000	NUM	B-LIMIT
worth	worth	NOUN	O
of	of	ADP	O
capital	capital	NOUN	O
tied	tie	VERB	O
up	up	ADP	O
at	at	ADP	O
any	any	DET	O
time	time	NOUN	O
.	.	PUNCT	O
Formulate	formulate	VERB	O
an	an	DET	O
LP	LP	PROPN	O
in	in	ADP	O
order	order	NOUN	O
to	to	PART	O
maximize	maximize	VERB	B-OBJ_DIR
the	the	DET	O
store	store	NOUN	O
's	's	PART	O
profit	profit	NOUN	B-OBJ_NAME
.	.	PUNCT	O

Amazing	amazing	ADJ	O
Decor	Decor	PROPN	O
buys	buy	VERB	O
and	and	CCONJ	O
sells	sell	VERB	O
both	both	DET	O
furniture	furniture	NOUN	B-VAR
and	and	CCONJ	O
carpet	carpet	NOUN	B-VAR
.	.	PUNCT	O
Each	each	DET	O
furniture	furniture	NOUN	B-VAR
takes	take	VERB	O
12	12	NUM	B-PARAM
square	square	ADJ	O
feet	foot	NOUN	O
of	of	ADP	O
space	space	NOUN	O
while	while	SCONJ	O
each	each	DET	O
carpet	carpet	NOUN	B-VAR
takes	take	VERB	O
7	7	NUM	B-PARAM
square	square	ADJ	O
feet	foot	NOUN	O
of	of	ADP	O
space	space	NOUN	O
.	.	PUNCT	O
The	the	DET	O
company	company	NOUN	O
has	have	VERB	O
1200	1200	NUM	B-LIMIT
square	square	ADJ	O
feet	foot	NOUN	O
of	of	ADP	O
space	space	NOUN	O
available	available	ADJ	B-CONST_DIR
.	.	PUNCT	O
Buying	buy	VERB	O
a	a	DET	O
furniture	furniture	NOUN	B-VAR
costs	cost	VERB	O
the	the	DET	O
store	store	NOUN	O
$	$	SYM	O
300	300	NUM	B-PARAM
and	and	CCONJ	O
buying	buy	VERB	O
a	a	DET	O
carpet	carpet	NOUN	B-VAR
costs	cost	VERB	O
the	the	DET	O
store	store	NOUN	O
$	$	SYM	O
80	80	NUM	B-PARAM
.	.	PUNCT	O
The	the	DET	O
company	company	NOUN	O
has	have	VERB	O
a	a	DET	O
budget	budget	NOUN	B-CONST_DIR
of	of	ADP	O
$	$	SYM	O
30000	30000	NUM	B-PARAM
.	.	PUNCT	O
In	in	ADP	O
addition	addition	NOUN	O
,	,	PUNCT	O
at	at	ADV	B-CONST_DIR
least	least	ADV	I-CONST_DIR
20	20	NUM	B-LIMIT
%	%	NOUN	I-LIMIT
of	of	ADP	O
items	item	NOUN	O
in	in	ADP	O
stock	stock	NOUN	O
have	have	VERB	O
to	to	PART	O
be	be	VERB	O
furniture	furniture	NOUN	B-VAR
.	.	PUNCT	O
If	if	SCONJ	O
the	the	DET	O
profit	profit	NOUN	B-OBJ_NAME
per	per	ADP	O
furniture	furniture	NOUN	B-VAR
sold	sell	VERB	O
is	be	AUX	O
$	$	SYM	O
40	40	NUM	B-PARAM
and	and	CCONJ	O
the	the	DET	O
profit	profit	NOUN	B-OBJ_NAME
per	per	ADP	O
carpet	carpet	NOUN	B-VAR
sold	sell	VERB	O
is	be	VERB	O
$	$	SYM	O
30	30	NUM	B-PARAM
,	,	PUNCT	O
how	how	ADV	O
many	many	ADJ	O
of	of	ADP	O
each	each	DET	O
should	should	AUX	O
the	the	DET	O
company	company	NOUN	O
buy	buy	VERB	O
and	and	CCONJ	O
sell	sell	VERB	O
to	to	PART	O
maximize	maximize	VERB	B-OBJ_DIR
profit	profit	NOUN	B-OBJ_NAME
?	?	PUNCT	O

A	a	DET	O
cosmetics	cosmetic	NOUN	O
company	company	NOUN	O
makes	make	VERB	O
high	high	ADJ	O
-	-	PUNCT	O
end	end	NOUN	O
skincare	skincare	NOUN	O
products	product	NOUN	O
whose	whose	DET	O
main	main	ADJ	O
customers	customer	NOUN	O
are	be	VERB	O
wealthy	wealthy	ADJ	O
women	woman	NOUN	O
,	,	PUNCT	O
both	both	DET	O
young	young	ADJ	O
girls	girl	NOUN	O
and	and	CCONJ	O
middle	middle	NOUN	O
-	-	PUNCT	O
aged	aged	ADJ	O
women	woman	NOUN	O
.	.	PUNCT	O
In	in	ADP	O
order	order	NOUN	O
to	to	PART	O
promote	promote	VERB	O
their	their	PRON	O
product	product	NOUN	O
line	line	NOUN	O
,	,	PUNCT	O
they	they	PRON	O
decided	decide	VERB	O
to	to	PART	O
invest	invest	VERB	O
in	in	ADP	O
short	short	ADJ	O
commercial	commercial	ADJ	O
spots	spot	NOUN	O
on	on	ADP	O
two	two	NUM	O
types	type	NOUN	O
of	of	ADP	O
programs	program	NOUN	O
:	:	PUNCT	O
social	social	ADJ	B-VAR
media	medium	NOUN	I-VAR
and	and	CCONJ	O
television	television	NOUN	B-VAR
.	.	PUNCT	O
While	while	SCONJ	O
each	each	DET	O
social	social	ADJ	B-VAR
media	medium	NOUN	I-VAR
commercial	commercial	NOUN	I-VAR
is	be	AUX	O
seen	see	VERB	O
by	by	ADP	O
5	5	NUM	B-PARAM
million	million	NUM	O
young	young	ADJ	O
girls	girl	NOUN	O
and	and	CCONJ	O
1	1	NUM	B-PARAM
million	million	NUM	O
middle	middle	NOUN	O
-	-	PUNCT	O
aged	aged	ADJ	O
women	woman	NOUN	O
,	,	PUNCT	O
each	each	DET	O
television	television	NOUN	B-VAR
commercial	commercial	NOUN	I-VAR
is	be	AUX	O
seen	see	VERB	O
by	by	ADP	O
3	3	NUM	B-PARAM
million	million	NUM	O
young	young	ADJ	O
girls	girl	NOUN	O
and	and	CCONJ	O
7	7	NUM	B-PARAM
million	million	NUM	O
middle	middle	NOUN	O
-	-	PUNCT	O
aged	aged	ADJ	O
women	woman	NOUN	O
.	.	PUNCT	O
A	a	DET	O
1	1	NUM	O
-	-	PUNCT	O
minute	minute	NOUN	O
social	social	ADJ	B-VAR
media	medium	NOUN	I-VAR
ad	ad	NOUN	I-VAR
costs	cost	VERB	B-OBJ_NAME
$	$	SYM	O
30,000	30,000	NUM	B-PARAM
,	,	PUNCT	O
and	and	CCONJ	O
a	a	DET	O
1	1	NUM	O
-	-	PUNCT	O
minute	minute	NOUN	O
television	television	NOUN	B-VAR
ad	ad	NOUN	I-VAR
costs	cost	VERB	B-OBJ_NAME
$	$	SYM	O
50,000	50,000	NUM	B-PARAM
.	.	PUNCT	O
The	the	DET	O
company	company	NOUN	O
would	would	AUX	O
like	like	VERB	O
the	the	DET	O
commercials	commercial	NOUN	O
to	to	PART	O
be	be	AUX	O
seen	see	VERB	O
by	by	ADP	O
at	at	ADV	B-CONST_DIR
least	least	ADV	I-CONST_DIR
20	20	NUM	B-LIMIT
million	million	NUM	O
young	young	ADJ	O
girls	girl	NOUN	O
and	and	CCONJ	O
30	30	NUM	B-LIMIT
million	million	NUM	O
middle	middle	NOUN	O
-	-	PUNCT	O
aged	aged	ADJ	O
women	woman	NOUN	O
.	.	PUNCT	O
Use	use	VERB	O
linear	linear	ADJ	O
programming	programming	NOUN	O
to	to	PART	O
determine	determine	VERB	O
how	how	ADV	O
the	the	DET	O
cosmetics	cosmetic	NOUN	O
company	company	NOUN	O
can	can	AUX	O
meet	meet	VERB	O
its	its	PRON	O
advertising	advertising	NOUN	O
requirements	requirement	NOUN	O
at	at	ADP	O
minimum	minimum	ADJ	B-OBJ_DIR
cost	cost	NOUN	B-OBJ_NAME
.	.	PUNCT	O

The	the	DET	O
company	company	NOUN	O
would	would	AUX	O
like	like	VERB	O
to	to	PART	O
design	design	VERB	O
an	an	DET	O
office	office	NOUN	O
space	space	NOUN	O
with	with	ADP	O
two	two	NUM	O
types	type	NOUN	O
of	of	ADP	O
desks	desk	NOUN	O
:	:	PUNCT	O
regular	regular	ADJ	B-VAR
desks	desk	NOUN	I-VAR
and	and	CCONJ	O
standing	stand	VERB	B-VAR
desks	desk	NOUN	I-VAR
.	.	PUNCT	O
The	the	DET	O
company	company	NOUN	O
can	can	AUX	O
spend	spend	VERB	O
at	at	ADV	B-CONST_DIR
most	most	ADV	I-CONST_DIR
$	$	SYM	O
2500	2500	NUM	B-LIMIT
.	.	PUNCT	O
Regular	regular	ADJ	B-VAR
desks	desk	NOUN	I-VAR
cost	cost	VERB	O
$	$	SYM	O
150	150	NUM	B-PARAM
,	,	PUNCT	O
take	take	VERB	O
up	up	ADP	O
6	6	NUM	B-PARAM
square	square	ADJ	O
feet	foot	NOUN	O
of	of	ADP	O
space	space	NOUN	O
,	,	PUNCT	O
and	and	CCONJ	O
seat	seat	NOUN	B-OBJ_NAME
4	4	NUM	B-PARAM
employees	employee	NOUN	O
.	.	PUNCT	O
Standing	stand	VERB	B-VAR
desks	desk	NOUN	I-VAR
cost	cost	VERB	O
$	$	SYM	O
200	200	NUM	B-PARAM
,	,	PUNCT	O
take	take	VERB	O
up	up	ADP	O
5	5	NUM	B-PARAM
square	square	ADJ	O
feet	foot	NOUN	O
of	of	ADP	O
space	space	NOUN	O
,	,	PUNCT	O
and	and	CCONJ	O
seat	seat	NOUN	B-OBJ_NAME
6	6	NUM	B-PARAM
employees	employee	NOUN	O
.	.	PUNCT	O
The	the	DET	O
office	office	NOUN	O
can	can	AUX	O
have	have	VERB	O
at	at	ADP	B-CONST_DIR
most	most	ADJ	I-CONST_DIR
250	250	NUM	B-LIMIT
square	square	ADJ	O
feet	foot	NOUN	O
of	of	ADP	O
desks	desk	NOUN	O
.	.	PUNCT	O
How	how	ADV	O
many	many	ADJ	O
of	of	ADP	O
each	each	DET	O
desk	desk	NOUN	O
should	should	AUX	O
the	the	DET	O
company	company	NOUN	O
buy	buy	VERB	O
in	in	ADP	O
order	order	NOUN	O
to	to	PART	O
maximize	maximize	VERB	B-OBJ_DIR
the	the	DET	O
seating	seating	NOUN	B-OBJ_NAME
availability	availability	NOUN	I-OBJ_NAME
?	?	PUNCT	O

A	a	DET	O
leatherworker	leatherworker	NOUN	O
has	have	VERB	B-CONST_DIR
2000	2000	NUM	B-LIMIT
units	unit	NOUN	O
of	of	ADP	O
leather	leather	NOUN	O
to	to	PART	O
make	make	VERB	O
wallets	wallet	NOUN	B-VAR
and	and	CCONJ	O
purses	purse	NOUN	B-VAR
.	.	PUNCT	O
Each	each	DET	O
wallet	wallet	NOUN	B-VAR
needs	need	VERB	O
2	2	NUM	B-PARAM
units	unit	NOUN	O
of	of	ADP	O
leather	leather	NOUN	O
and	and	CCONJ	O
each	each	DET	O
purse	purse	NOUN	B-VAR
needs	need	VERB	O
4	4	NUM	B-PARAM
units	unit	NOUN	O
of	of	ADP	O
leather	leather	NOUN	O
.	.	PUNCT	O
Due	due	ADP	O
to	to	ADP	O
popularity	popularity	NOUN	O
,	,	PUNCT	O
at	at	ADV	B-CONST_DIR
least	least	ADV	I-CONST_DIR
four	four	NUM	B-PARAM
times	time	NOUN	I-PARAM
as	as	ADP	O
many	many	ADJ	O
purses	purse	NOUN	B-VAR
are	be	AUX	O
needed	need	VERB	O
than	than	SCONJ	O
wallets	wallet	NOUN	B-VAR
and	and	CCONJ	O
there	there	PRON	O
needs	need	VERB	O
to	to	PART	O
be	be	VERB	O
at	at	ADV	B-CONST_DIR
least	least	ADV	I-CONST_DIR
10	10	NUM	B-LIMIT
wallets	wallet	NOUN	B-VAR
made	make	VERB	O
.	.	PUNCT	O
If	if	SCONJ	O
the	the	DET	O
profit	profit	NOUN	B-OBJ_NAME
per	per	ADP	O
wallet	wallet	NOUN	B-VAR
is	be	AUX	O
$	$	SYM	O
40	40	NUM	B-PARAM
and	and	CCONJ	O
the	the	DET	O
profit	profit	NOUN	B-OBJ_NAME
per	per	ADP	O
purse	purse	NOUN	B-VAR
is	be	VERB	O
$	$	SYM	O
85	85	NUM	B-PARAM
,	,	PUNCT	O
how	how	ADV	O
many	many	ADJ	O
of	of	ADP	O
each	each	DET	O
should	should	AUX	O
be	be	AUX	O
made	make	VERB	O
to	to	PART	O
maximize	maximize	VERB	B-OBJ_DIR
profit	profit	NOUN	B-OBJ_NAME
?	?	PUNCT	O

Sofia	Sofia	PROPN	O
Paint	Paint	PROPN	O
store	store	NOUN	O
mixes	mix	VERB	O
two	two	NUM	O
brands	brand	NOUN	O
of	of	ADP	O
paint	paint	NOUN	O
,	,	PUNCT	O
Iota	Iota	PROPN	B-VAR
and	and	CCONJ	O
Lambda	Lambda	PROPN	B-VAR
,	,	PUNCT	O
to	to	PART	O
create	create	VERB	O
a	a	DET	O
new	new	ADJ	O
mixture	mixture	NOUN	O
of	of	ADP	O
paint	paint	NOUN	O
.	.	PUNCT	O
A	a	DET	O
can	can	NOUN	O
of	of	ADP	O
Iota	Iota	PROPN	B-VAR
paint	paint	NOUN	I-VAR
costs	cost	VERB	B-OBJ_NAME
$	$	SYM	O
8	8	NUM	B-PARAM
and	and	CCONJ	O
a	a	DET	O
can	can	NOUN	O
of	of	ADP	O
Lambda	Lambda	PROPN	B-VAR
paint	paint	NOUN	I-VAR
costs	cost	VERB	B-OBJ_NAME
$	$	SYM	O
12	12	NUM	B-PARAM
.	.	PUNCT	O
A	a	DET	O
can	can	NOUN	O
of	of	ADP	O
Iota	Iota	PROPN	B-VAR
paint	paint	NOUN	I-VAR
contains	contain	VERB	O
3	3	NUM	B-PARAM
units	unit	NOUN	O
of	of	ADP	O
dye	dye	NOUN	O
,	,	PUNCT	O
5	5	NUM	B-PARAM
units	unit	NOUN	O
of	of	ADP	O
thinner	thin	ADJ	O
,	,	PUNCT	O
and	and	CCONJ	O
6	6	NUM	B-PARAM
units	unit	NOUN	O
of	of	ADP	O
oil	oil	NOUN	O
.	.	PUNCT	O
A	a	DET	O
can	can	NOUN	O
of	of	ADP	O
Lambda	Lambda	PROPN	B-VAR
paint	paint	NOUN	I-VAR
contains	contain	VERB	O
5	5	NUM	B-PARAM
units	unit	NOUN	O
of	of	ADP	O
dye	dye	NOUN	O
,	,	PUNCT	O
8	8	NUM	B-PARAM
units	unit	NOUN	O
of	of	ADP	O
thinner	thin	ADJ	O
,	,	PUNCT	O
and	and	CCONJ	O
3	3	NUM	B-PARAM
units	unit	NOUN	O
of	of	ADP	O
oil	oil	NOUN	O
.	.	PUNCT	O
The	the	DET	O
minimum	minimum	ADJ	B-CONST_DIR
requirements	requirement	NOUN	O
of	of	ADP	O
dye	dye	NOUN	O
,	,	PUNCT	O
thinner	thin	ADJ	O
,	,	PUNCT	O
and	and	CCONJ	O
oil	oil	NOUN	O
for	for	ADP	O
the	the	DET	O
new	new	ADJ	O
mixture	mixture	NOUN	O
are	be	AUX	O
10	10	NUM	B-LIMIT
units	unit	NOUN	O
,	,	PUNCT	O
12	12	NUM	B-LIMIT
units	unit	NOUN	O
,	,	PUNCT	O
and	and	CCONJ	O
15	15	NUM	B-LIMIT
units	unit	NOUN	O
,	,	PUNCT	O
respectively	respectively	ADV	O
.	.	PUNCT	O
How	how	ADV	O
many	many	ADJ	O
cans	can	NOUN	O
of	of	ADP	O
each	each	DET	O
paint	paint	NOUN	O
brand	brand	NOUN	O
should	should	AUX	O
be	be	VERB	O
mixed	mix	VERB	O
to	to	PART	O
achieve	achieve	VERB	O
the	the	DET	O
new	new	ADJ	O
mixture	mixture	NOUN	O
at	at	ADP	O
a	a	DET	O
minimum	minimum	ADJ	B-OBJ_DIR
cost	cost	NOUN	B-OBJ_NAME
?	?	PUNCT	O

A	a	DET	O
woman	woman	NOUN	O
owns	own	VERB	O
two	two	NUM	O
cafes	cafe	NOUN	O
.	.	PUNCT	O
Running	run	VERB	O
cafe	cafe	NOUN	B-VAR
1	1	NUM	I-VAR
for	for	ADP	O
an	an	DET	O
hour	hour	NOUN	O
costs	cost	VERB	B-OBJ_NAME
$	$	SYM	O
400	400	NUM	B-PARAM
and	and	CCONJ	O
makes	make	VERB	O
12	12	NUM	B-PARAM
lattes	latte	NOUN	O
,	,	PUNCT	O
18	18	NUM	B-PARAM
americanos	americanos	ADJ	O
,	,	PUNCT	O
and	and	CCONJ	O
16	16	NUM	B-PARAM
macchiatos	macchiato	NOUN	O
.	.	PUNCT	O
Running	run	VERB	O
